Proxy_Data
DSDP607
2932	3.16
5838	3.33
8733	3.66
11923	4.35
15174	5.07
18560	4.99
23028	4.82
27660	4.65
30908	4.8
33776	4.67
36887	4.59
41049	4.53
45433	4.45
49188	4.58
52091	4.45
55080	4.19
58135	4.23
60866	4.55
63665	4.66
66538	4.37
71252	3.96
74220	3.99
76639	3.89
79117	3.77
81621	4.04
84372	4.29
87374	4.07
90500	4.02
93595	3.81
97572	3.62
104107	3.97
110435	4
114287	3.69
117863	3.62
120902	3.19
123898	3.05
126513	3.84
131531	4.64
140946	4.89
146526	4.93
148773	4.97
150688	4.83
152545	4.74
155092	4.58
158175	4.59
161226	4.6
164253	4.38
167030	4.35
169455	4.3
171316	4.36
173829	4.5
176551	4.42
179263	4.52
181172	4.61
183905	4.33
187958	4.06
193301	3.73
196488	3.48
201246	3.69
204484	3.8
207077	3.63
209491	3.55
211920	3.56
215123	3.61
219621	3.53
222371	3.56
225007	4.67
227679	4.33
230423	3.99
233204	4.28
235972	3.64
238706	3.45
239923	3.4
241156	3.91
245325	4.4
249022	4.7
250822	4.7
252020	4.64
252986	4.44
254086	4.38
255056	4.47
256421	4.12
258513	4.39
259531	3.55
263684	4.14
268406	4.43
274516	4.29
280526	4.03
286099	3.86
289833	3.85
292516	3.99
295071	4.22
299846	4.25
301927	4.19
306434	3.9
309613	3.88
313896	3.57
318719	3.51
323493	3.09
327570	2.93
330065	3.24
332436	3.53
336046	3.81
337357	4.77
339749	4.52
341381	4.4
343977	4.71
347178	4.37
350578	4.12
354064	4.44
359333	4.39
361299	4.39
363288	4.27
366817	4.34
368849	4.22
373395	4.25
378705	4.2
385469	3.96
389171	3.88
392691	3.78
396049	3.74
399277	3.56
400745	3.41
402178	3.29
406128	3.04
407580	2.81
411124	3.18
413766	3.33
416749	3.67
420379	3.64
423684	3.63
425215	3.81
426963	4.77
430270	4.74
431886	4.82
434228	4.96
439377	4.7
442217	4.45
444657	4.76
447626	4.68
450507	4.69
452602	4.63
456621	4.27
457604	3.91
461205	4.03
467625	4.37
472278	4.43
472556	4.2
474663	3.99
476810	3.76
480665	3.52
488021	3.83
501713	3.79
507533	3.97
512121	4.24
517959	4.58
527727	4.53
541055	4.53
552087	4.28
564407	4.25
573466	3.71
577476	3.73
580315	3.84
586228	4.06
588681	3.73
591416	3.66
593873	3.69
603408	3.6
607408	3.86
609307	3.68
610306	3.59
611891	3.48
612769	3.52
615483	3.23
617990	3.66
618791	3.31
620137	3.45
620713	3.63
621941	3.99
622894	4.08
626725	5.01
634598	4.98
644500	4.67
647583	4.76
651667	4.65
666262	4.6
669115	4.55
671902	4.59
674993	4.51
675773	4.44
677444	4.25
678836	3.93
680485	3.84
682416	3.78
684382	3.72
686370	3.56
688374	3.47
690019	3.42
692093	3.59
692848	3.64
694597	3.93
696293	4.38
698206	4.53
700248	4.57
702061	4.44
703929	4.42
705771	4.05
707816	3.78
710847	4.02
711775	4.03
713748	4.09
715256	4.41
716981	4.55
718326	4.53
719512	4.48
720922	4.37
722636	4.32
723550	4.2
726978	3.96
728858	3.58
737663	3.75
742926	4.28
